"AnoYear","BanderaFlag","ArteGear","EspeciesSpecies","t"
1965,"USA","HAR","SWO",215.00
1965,"USA","LP","ALB",397.00
1965,"USA","LP","BET",231.00
1965,"USA","LP","PBF",11.00
1965,"USA","LP","SKJ",6868.00
1965,"USA","LP","YFT",6052.00
1965,"USA","LTL","ALB",16542.00
1965,"USA","PS","ALB",247.00
1965,"USA","PS","BKJ",16.00
1965,"USA","PS","BZX",3733.00
1965,"USA","PS","PBF",6523.00
1965,"USA","PS","SKJ",58603.00
1965,"USA","PS","YFT",62028.00
1965,"USA","RG","ALB",731.00
1965,"USA","UNK","PBF",66.00
1965,"USA","UNK","SKJ",6.00
1965,"USA","UNK","YFT",18.00
1966,"CHL","HAR","SWO",175.00
1966,"CHL","LP","BZX",2.00
1966,"CHL","LP","SKJ",0.00
1966,"CHL","LP","YFT",13.00
1966,"CHL","PS","BZX",248.00
1966,"CHL","PS","SKJ",106.00
1966,"CHL","PS","YFT",477.00
1966,"CHL","UNK","BZX",12775.00
1966,"COL","LP","SKJ",258.00
1966,"COL","LP","YFT",63.00
1966,"COL","UNK","SKJ",61.00
1966,"COL","UNK","YFT",57.00
1966,"ECU","LP","SKJ",7793.00
1966,"ECU","LP","YFT",499.00
1966,"ECU","PS","SKJ",904.00
1966,"ECU","PS","YFT",208.00
1966,"ECU","UNK","SKJ",1644.00
1966,"ECU","UNK","YFT",449.00
1966,"JPN","LL","ALB",4230.00
1966,"JPN","LL","BET",34763.00
1966,"JPN","LL","BLM",564.00
1966,"JPN","LL","BUM",2888.00
1966,"JPN","LL","MLS",9060.00
1966,"JPN","LL","PBF",2.00
1966,"JPN","LL","SKJ",239.00
1966,"JPN","LL","SWO",2061.00
1966,"JPN","LL","YFT",9066.00
1966,"MEX","LP","BZX",75.00
1966,"MEX","LP","CGX",406.00
1966,"MEX","LP","SKJ",557.00
1966,"MEX","LP","YFT",385.00
1966,"MEX","PS","BZX",355.00
1966,"MEX","PS","PBF",435.00
1966,"MEX","PS","SKJ",727.00
1966,"MEX","PS","YFT",1660.00
1966,"OTR","PS","SKJ",2572.00
1966,"OTR","PS","YFT",1681.00
1966,"PER","UNK","SWO",200.00
